Country,Region,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education,GPD per capita (2018)
Brazil,Region A,10.0,6.7,49.0,7.006666666666668,61.0,35.86666666666667,27.0,,,,,74.76666666666667,6.400000000000001,,,89.25,,,2.2,398.2,,79.0,73.0,16.166666666666668,9001.234249
Chile,Region A,16.0,9.4,65.0,9.316666666666666,62.66666666666666,48.0,4.2,,100967.0,18.0,8.168000000000001,79.89999999999998,6.48,,25879.0,84.6,1.2,57.0,1.3,443.8,,47.0,71.0,17.5,15924.79424
Colombia,Region A,10.0,23.9,54.0,26.00666666666667,67.0,44.56666666666666,25.0,,,17.0,,76.23333333333333,6.2666666666666675,0.82,,89.0,1.2,,1.4,412.8,,53.0,74.66666666666667,14.1,6718.585324
Mexico,Region A,16.0,25.5,37.66666666666666,27.28,61.66666666666666,41.966666666666654,18.633333333333333,,,20.0,5.395999999999999,75.4,6.466666666666666,0.06666666666666668,15314.0,81.6,1.0,65.66666666666667,3.2,416.0,,63.0,67.66666666666667,15.166666666666664,9673.443674
Canada,Region B,7.0,0.2,91.33333333333331,3.673333333333333,73.33333333333333,82.5,1.2666666666666666,30854.0,423849.0,22.0,7.047999999999999,81.86666666666666,7.425000000000002,0.7633333333333333,47622.0,93.25,2.6,87.8,2.9,523.2,14.553333333333335,68.0,91.0,17.333333333333332,46313.17137
United States,Region B,10.0,0.1,90.66666666666669,10.99,70.0,73.89999999999998,5.5,45284.0,632100.0,19.0,9.072000000000001,78.6,7.0,0.6566666666666667,60558.0,91.75,2.4,86.8,3.1,489.4,14.44,65.0,82.66666666666667,17.2,62996.66482000001
Switzerland,Region C,15.0,0.1,87.66666666666669,0.3700000000000001,79.66666666666667,85.33333333333333,0.6,37466.0,,22.0,,83.66666666666667,7.5,1.8266666666666669,62283.0,93.33333333333331,1.9,77.4,2.3,507.4,,49.0,95.33333333333331,17.5,82818.10816
Belgium,Region C,15.0,1.9,77.0,4.703333333333333,63.33333333333334,70.26666666666667,1.0333333333333334,30364.0,386006.0,21.0,4.0520000000000005,81.5,7.000000000000001,3.533333333333333,49675.0,92.0,2.2,73.6,2.0,503.8,15.663333333333332,89.0,83.66666666666667,19.3,47491.32326000001
Denmark,Region C,9.0,0.5,81.0,2.316666666666667,74.0,83.56666666666669,0.6,29606.0,118637.0,23.0,4606,80.89999999999998,7.65,1.3133333333333337,51466.0,95.5,1.9,72.6,2.0,505.2,15.873333333333333,86.0,95.0,19.5,61390.69301
France,Region C,13.0,0.5,78.33333333333333,7.656666666666666,65.33333333333333,70.7,0.4666666666666667,31304.0,280653.0,21.0,8.379999999999999,82.36666666666667,6.540000000000001,3.996666666666666,43755.0,89.0,1.8,66.4,2.1,497.4,16.336666666666666,75.0,81.0,16.5,41631.09074
Germany,Region C,14.0,0.2,86.66666666666669,4.196666666666666,75.33333333333333,72.60000000000002,0.5,34294.0,259667.0,20.0,4928,81.06666666666666,7.1,1.5566666666666666,47585.0,90.5,1.8,65.4,1.8,511.0,15.613333333333335,76.0,91.33333333333331,18.1,47639.00344
Netherlands,Region C,14.0,0.1,78.33333333333333,0.4133333333333333,75.66666666666667,82.06666666666666,0.6,29333.0,157824.0,19.0,4.93,81.60000000000002,7.5,1.9766666666666663,52877.0,91.0,1.9,75.8,2.6,509.6,,82.0,93.0,18.666666666666668,53048.09621
